version,time,op,size,lbn
1,5633898368802,2a,512,42932745
1,5633898611441,2a,512,42932746
1,5633898745540,2a,512,42932747
1,5633898967708,2a,6656,40409911
1,5633899967748,2a,6144,31954535
1,5633899967980,2a,57344,6238199
1,5633899970576,2a,4096,6160447
1,5633899970868,2a,4096,6160431
1,5633900967728,2a,2048,42600911
1,5633900967758,2a,8192,26185655
1,5633901358383,2a,512,1313767
1,5633901361815,2a,4096,6238311
1,5633901373998,2a,4096,6160455
1,5633901377333,2a,3584,1313768
1,5633901377338,2a,2560,1329911
1,5633901379135,2a,4096,1329916
1,5633901380311,2a,1536,1329924
1,5633901380315,2a,2560,1386815
1,5633901381647,2a,4096,6160447
1,5633901383491,2a,512,1313767
1,5633901385128,2a,4096,6160455
1,5633901387644,2a,4096,3362311
1,5633901389704,2a,4096,6160447
1,5633901394028,2a,4096,3345071
1,5633901397242,2a,16384,3345071
1,5633901399236,2a,16384,3362287
1,5633901402799,2a,4096,3345079
1,5633901406450,2a,16384,3345071
1,5633901409086,2a,4096,3345071
1,5633901412191,2a,4096,3345071
1,5633901967741,2a,5120,31954543
1,5633902967717,2a,1536,31954551
1,5633902967721,2a,2560,40409919
1,5633903967726,2a,2048,31954551
1,5633904122770,2a,512,42932748
1,5633904967710,2a,5120,31954551
1,5633904967746,2a,4096,6238319
1,5633904981307,2a,4096,6160455
1,5633904981696,2a,4096,6292031
1,5633905967707,2a,5632,40409919
1,5633906967757,2a,3072,31954559
1,5633907967711,2a,4096,31954559
1,5633908967715,2a,5120,31954559
1,5633909967699,2a,1024,31954567
1,5633909967865,2a,53248,6238327
1,5633909967884,2a,4096,33544823
1,5633909975274,2a,4096,6160447
1,5633909975775,2a,4096,6160439
1,5633909978035,2a,4096,33544239
1,5633909978324,2a,4096,33544295
1,5633910967734,2a,5120,31954567
1,5633911967709,2a,2048,31954575
1,5633911967713,2a,2048,40409927
1,5633912967720,2a,3584,31954575
1,5633913441848,2a,512,42932749
1,5633913967792,2a,4096,31954575
1,5633914967726,2a,4096,31954575
1,5633914967762,2a,4096,6238431
1,5633914975741,2a,4096,6238439
1,5633914981307,2a,4096,6313479
1,5633915967723,2a,4608,31954575
1,5633916310894,2a,1024,42932750
1,5633916967697,2a,1536,31954583
1,5633917967733,2a,2560,31954583
1,5633918967723,2a,3072,31954583
1,5633919967971,2a,49152,6238447
1,5633919974827,2a,4096,6160455
1,5633919979787,2a,4096,6160431
1,5633921967743,2a,5120,31954583
1,5633922967743,2a,2048,40409927
1,5633923967722,2a,2560,31954591
1,5633924983413,2a,4096,6320583
1,5633926487063,2a,512,42932752
1,5633926967709,2a,3072,31954591
1,5633927967815,2a,5120,31954591
1,5633928967699,2a,2048,31954599
1,5633929344120,2a,512,42932753
1,5633929740675,2a,512,42932754
1,5633929967702,2a,8192,31954599
1,5633929983487,2a,57344,6238543
1,5633929992524,2a,512,42932755
1,5633929996753,2a,4096,6160447
1,5633929997351,2a,4096,6160439
1,5633930232127,2a,512,42932756
1,5633930467880,2a,512,42932757
1,5633930612261,2a,512,42932758
1,5633930834296,2a,512,42932759
1,5633930967708,2a,4608,40409927
1,5633930967713,2a,3072,42600911
1,5633931070072,2a,512,42932760
1,5633932967715,2a,11264,31954607
1,5633933967698,2a,3072,42600911
1,5633933967717,2a,1024,40409935
1,5633934190417,2a,512,42932761
1,5633934967779,2a,12288,26185663
1,5633934983405,2a,4096,6238655
1,5633934984122,2a,4096,6298647
1,5633935967739,2a,4608,31954623
1,5633936139640,2a,512,1313767
1,5633936145318,2a,4096,6238663
1,5633936162445,2a,4096,6160455
1,5633936167580,2a,3584,1313768
1,5633936167587,2a,2560,1329911
1,5633936171909,2a,4096,1329916
1,5633936172965,2a,1536,1329924
1,5633936172971,2a,2560,1386815
